,name,category,address,score,eval_cnt,review_cnt
225,장모사랑막걸리주점,"호프,요리주점",(지번) 양재동 13-9,3.0,1건,리뷰 1
226,짚동가리쌩주 양재역점,"호프,요리주점",(지번) 양재동 11-8,3.0,3건,리뷰 20
227,왕냉면앤왕까스 양재점,냉면,(지번) 양재1동 10-1,2.5,2건,리뷰 8
228,던킨도너츠 양재사옥점,도넛,(지번) 양재동 11-149,0.0,0건,리뷰 1
229,파스쿠찌 양재사옥점,커피전문점,(지번) 양재동 11-149,3.0,1건,리뷰 0
230,카페꿀박스,카페,(지번) 도곡동 955-12,4.0,2건,리뷰 1
231,세이민 도곡본점,"돈까스,우동",(지번) 도곡동 950-2,4.2,9건,리뷰 7
232,파리바게뜨 강남대로점,"제과,베이커리",(지번) 서초동 1361-8,2.7,6건,리뷰 0
233,용손짜장,중화요리,(지번) 양재동 23,4.5,8건,리뷰 2
234,늘봄,"족발,보쌈",(지번) 서초동 1360-35,0.0,0건,리뷰 5
235,할매보쌈애부대찌개 양재역점,"찌개,전골",(지번) 양재동 13-10,3.0,1건,리뷰 1
236,커피랑도서관 양재역점,북카페,(지번) 도곡동 924-5,2.0,2건,리뷰 1
237,양재골홍어집,"해물,생선",(지번) 양재동 10-3,4.5,3건,리뷰 1
238,아이리쉬펍뷰,"호프,요리주점",(지번) 서초2동 1366,0.0,0건,리뷰 3
239,지유네한식전문점,한식,(지번) 양재동 14-6,0.0,0건,리뷰 1
240,가마로강정 양재역점,닭강정,(지번) 양재동 11-87,2.6,5건,리뷰 4
241,북촌손만두 양재역점,분식,(지번) 양재동 23,2.0,23건,리뷰 13
242,뱃길따라,회,(지번) 서초동 1359-9,1.0,2건,리뷰 0
243,강촌원조쭈꾸미 별관,"해물,생선",(지번) 양재동 11-6,5.0,1건,리뷰 0
244,놀부옛날통닭 강남양재역점,치킨,(지번) 도곡동 957-11,2.0,1건,리뷰 6
245,바르다김선생 양재점,분식,(지번) 도곡동 902-2,1.0,2건,리뷰 0
246,매머드커피 강남대로점,커피전문점,(지번) 도곡동 949-2,2.5,4건,리뷰 0
247,수담,한정식,(지번) 양재동 24,0.0,0건,리뷰 0
248,남도집,한식,(지번) 양재동 1-7,0.0,0건,리뷰 2
249,마포화곱창 양재역점,"곱창,막창",(지번) 양재동 13-14,0.0,0건,리뷰 8
250,트래고드,카페,(지번) 도곡동 952-13,4.7,3건,리뷰 4
251,쥬씨 양재점,생과일전문점,(지번) 양재동 11-86,4.0,3건,리뷰 4
252,본비반트,"제과,베이커리",(지번) 서초동 1366-16,0.0,0건,리뷰 0
253,안녕숯불 양재점,한식,(지번) 도곡동 957-11,3.6,14건,리뷰 18
254,전주남문콩나물국밥,국밥,(지번) 서초동 1366-2,0.0,0건,리뷰 0
255,도그앤피그 직영7호점,"호프,요리주점",(지번) 서초동 1357-28,3.0,2건,리뷰 2
256,소노야 양재역점,"돈까스,우동",(지번) 양재동 19-14,2.9,17건,리뷰 22
257,비어팩토리 양재역점,"호프,요리주점",(지번) 양재동 12-4,5.0,2건,리뷰 3
258,리나스 양재점,카페,(지번) 양재동 11-149,3.7,3건,리뷰 1
259,우사기 양재점,"돈까스,우동",(지번) 양재동 23,3.4,5건,리뷰 3
260,스테프핫도그 양재역점,패스트푸드,(지번) 서초동 1366-9,2.2,6건,리뷰 7
261,달려라생포집,"육류,고기",(지번) 서초동 1366-15,0.0,0건,리뷰 6
262,이광진부대찌개냉동삼겹살 도곡점,"찌개,전골",(지번) 도곡동 954-18,0.0,0건,리뷰 8
263,미소야 양재점,"돈까스,우동",(지번) 양재동 1-7,1.7,13건,리뷰 5
264,컵,카페,(지번) 서초동 1363-25,5.0,1건,리뷰 1
265,아이엠,카페,(지번) 도곡동 947-10,3.5,2건,리뷰 4
266,와인러버,와인바,(지번) 도곡동 949-2,5.0,3건,리뷰 0
267,신토불이정육식당,"육류,고기",(지번) 도곡동 959-27,5.0,1건,리뷰 1
268,맥켄치킨 서초2점,치킨,(지번) 서초동 1357-33,5.0,1건,리뷰 5
269,매머드커피 양재점,커피전문점,(지번) 서초동 1364-47,0.0,0건,리뷰 2
270,라떼킹 양재점,커피전문점,(지번) 도곡동 954-11,2.0,4건,리뷰 3
271,장수국밥,국밥,(지번) 양재동 23,0.0,0건,리뷰 2
272,푸드카페김밥천국 양재점,분식,(지번) 양재동 1-2,3.0,1건,리뷰 0
273,봉구비어 양재역2호점,"호프,요리주점",(지번) 서초동 1363-2,0.0,0건,리뷰 10
274,제주돈풍,"육류,고기",(지번) 서초동 1359-46,4.3,3건,리뷰 3
275,도담도담,"떡,한과",(지번) 도곡동 959-6,0.0,0건,리뷰 0
