name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS,link,new_category,walking_time
함평원 서초점,"육류,고기",서초동 1715-9,4.1,8,19,37.493748,127.0129337,1055.912371066465,35.08,https://place.map.kakao.com/1336359266,고기,13.0
원조양꼬치 양재1호점,양꼬치,양재동 11-76,4.1,8,8,37.4834946,127.0374658,1519.7385296800644,34.61,https://place.map.kakao.com/27285906,고기,18.0
사람사는 고깃집 김일도 서초점,"육류,고기",서초동 1594-3,3.9,8,105,37.4865475,127.0139851,589.2362470101381,34.43,https://place.map.kakao.com/1555912150,고기,7.0
군자대한곱창 교대점,"곱창,막창",서초동 1566-6,5.0,5,40,37.489774,127.013539,726.4854259325261,33.63,https://place.map.kakao.com/1884234408,고기,9.0
바우골참숯화로구이,"육류,고기",역삼동 649-9,3.9,8,13,37.49937070000001,127.0296949,1638.2335361792263,33.24,https://place.map.kakao.com/16038029,고기,20.0
강남역기와집양대창,"곱창,막창",서초동 1330-12,4.3,6,34,37.4931847,127.0286803,1026.2503698493067,32.2,https://place.map.kakao.com/1727429798,고기,12.0
단풍나무집 강남점,"육류,고기",역삼동 822-7,4.0,7,19,37.4989394,127.0295195,1588.8350155274786,32.18,https://place.map.kakao.com/24943695,고기,19.0
굴뚝집 남부터미널점,"육류,고기",서초동 1589-13,3.6,8,115,37.4856583,127.01345970000001,642.3937117894643,32.05,https://place.map.kakao.com/20227514,고기,8.0
들름집,국수,서초동 1330-11,3.7,95,44,37.4929498,127.02892759999999,1022.9252389726712,68.08,https://place.map.kakao.com/12316053,국수,12.0
봉산옥 서초동본점,국수,서초3동 1451-9,3.7,79,146,37.4833062,127.01245149999998,806.7970113975508,66.11,https://place.map.kakao.com/7908112,국수,10.0
서관면옥,냉면,서초동 1675-5,3.9,51,233,37.493953499999996,127.0172588,881.7450911905032,63.13,https://place.map.kakao.com/34321780,국수,11.0
서초면옥 서초본점,냉면,서초동 1557-7,3.7,33,46,37.4910504,127.0110163,990.2860809368996,52.82,https://place.map.kakao.com/11892071,국수,12.0
설눈,냉면,서초동 1551-9,4.0,20,117,37.4911967,127.0097558,1095.0266487895792,49.63,https://place.map.kakao.com/1495657850,국수,13.0
더진미평냉,냉면,서초동 1623-3,4.5,14,11,37.487125799999994,127.01558090000002,453.8080966065731,47.87,https://place.map.kakao.com/722848172,국수,5.0
한율막국수,국수,역삼동 826-37,4.9,10,3,37.495332299999994,127.03037250000001,1303.3870354971775,44.9,https://place.map.kakao.com/923702773,국수,16.0
명동곰돌이,국수,서초동 1696-5,3.5,23,18,37.495608399999995,127.01538810000001,1114.8194599125802,44.62,https://place.map.kakao.com/11831433,국수,13.0
백화요란골동반,한식,서초동 1542-1,3.9,14,29,37.4913624,127.008348,1213.7412830474675,42.22,https://place.map.kakao.com/14530131,국수,15.0
마더구스,국수,역삼동 824-25,4.6,8,51,37.497514,127.0310602,1530.3251165237484,39.7,https://place.map.kakao.com/95509154,국수,18.0
봉평착한메밀,국수,역삼동 839-4,4.1,11,3,37.490711,127.0340305,1269.0516666575672,39.23,https://place.map.kakao.com/27414577,국수,15.0
오장동면옥 서초본점,한식,서초동 1639-9,3.6,9,11,37.494231,127.018671,877.6488339490029,32.37,https://place.map.kakao.com/23106995,국수,11.0
장수족발감자탕 본점,"족발,보쌈",서초동 1330-11,4.4,15,7,37.4929498,127.02892759999999,1022.9252389726712,47.78,https://place.map.kakao.com/944629530,"족발, 보쌈",12.0
뽕족 강남점,"족발,보쌈",역삼동 826-7,4.1,16,73,37.4960239,127.0294442,1312.3260481314371,46.95,https://place.map.kakao.com/2008192859,"족발, 보쌈",16.0
소문난왕족발,"족발,보쌈",양재동 8-71,4.2,15,15,37.4835214,127.03820719999999,1582.9959047275765,46.08,https://place.map.kakao.com/13290928,"족발, 보쌈",19.0
서리풀식당,"족발,보쌈",서초동 1575-11,4.6,10,78,37.491529799999995,127.0134989,844.1496490888045,43.96,https://place.map.kakao.com/1771756773,"족발, 보쌈",10.0
교대평상집,"족발,보쌈",서초동 1571-18,3.9,14,171,37.49204659999999,127.0128023,928.260707130686,43.25,https://place.map.kakao.com/1866851283,"족발, 보쌈",11.0
돈통마늘보쌈 양재점,"족발,보쌈",양재동 8-6,4.1,7,39,37.483755,127.03823700000001,1580.3468247446192,33.35,https://place.map.kakao.com/1606820144,"족발, 보쌈",19.0
친친,중화요리,서초동 1574-14,3.9,69,96,37.4923958,127.0136153,903.7342060908935,67.22,https://place.map.kakao.com/1217946173,중식,11.0
뽕사부 교대점,중화요리,서초동 1572-2,4.1,42,78,37.4925788,127.01136029999999,1063.4147399171786,62.45,https://place.map.kakao.com/971848820,중식,13.0
중경마라탕 강남2호점,중식,역삼동 827-23,4.4,21,86,37.4954573,127.0314373,1376.9886970203613,54.97,https://place.map.kakao.com/503470628,중식,17.0
짬뽕지존 역삼직영점,중화요리,역삼동 823-38,3.9,24,165,37.4980783,127.0327402,1671.3593470456449,51.44,https://place.map.kakao.com/808359923,중식,20.0
선궁,중화요리,서초동 1451-34,3.9,20,36,37.4826414,127.01279939999999,815.6729053710633,47.78,https://place.map.kakao.com/11302648,중식,10.0
초선과여포 본점,중화요리,서초동 1330-16,3.7,22,159,37.49377020000001,127.0284397,1060.4990843653186,47.68,https://place.map.kakao.com/8097973,중식,13.0
홍콩반점0410 교대역점,중화요리,서초동 1659-17,3.6,24,10,37.4927691,127.0161311,803.8194683780548,46.12,https://place.map.kakao.com/12381105,중식,10.0
청키면가 강남역점,중식,서초동 1327,3.9,17,55,37.4955719,127.02707520000001,1156.7542018361114,45.54,https://place.map.kakao.com/1772612191,중식,14.0
