,name,category,star,star_count,review,address,lat,lng
655,만랩커피,커피전문점,0.0,0건,0,서울 서초구 서초중앙로 15,37.4830108887405,127.015641614311
656,맥스웰하우스,커피전문점,0.0,0건,0,서울 서초구 효령로 292,37.4835466074664,127.015110886678
657,커피앤커피,카페,0.0,0건,0,서울 서초구 반포대로 30,37.4832191535572,127.012232768385
658,라이브테마,"호프,요리주점",0.0,0건,0,서울 서초구 반포대로 30,37.4832191535572,127.012232768385
659,차포차,일식,0.0,0건,0,서울 서초구 반포대로12길 6,37.4845985548496,127.011767498905
660,자매식당,한식,0.0,0건,0,서울 서초구 서초중앙로 15 현대뉴퍼빌상가 1층,37.4830108887405,127.015641614311
661,장인의맛,한식,0.0,0건,0,서울 서초구 반포대로10길 35,37.4842424493185,127.013690467291
662,릿츠,양식,0.0,0건,0,서울 서초구 반포대로 11,37.4816729332516,127.012224036657
663,레프레미스,"제과,베이커리",4.1,48건,92,서울 서초구 남부순환로337길 36 1층,37.4843489302432,127.020638507033
664,부일갈비 본점,갈비,4.3,7건,52,서울 서초구 서초중앙로2길 42,37.4839052530171,127.019703786757
665,우면산버드나무집,"육류,고기",3.4,35건,7,서울 서초구 남부순환로 2461,37.4829026381052,127.019538111058
666,만다린,중화요리,3.4,8건,91,서울 서초구 남부순환로335길 37,37.4842132374078,127.021650747994
667,타지 서초점,인도음식,3.7,26건,22,서울 서초구 서초중앙로2길 35,37.484096350928,127.019192893295
668,수미관,한정식,4.3,3건,21,서울 서초구 서초중앙로2길 38,37.4838118505352,127.019510307644
669,도라스시,일식집,4.0,2건,22,서울 서초구 효령로60길 23-4,37.4843094649164,127.019035446922
670,까페라리 서초점,커피전문점,4.2,10건,17,서울 서초구 서초중앙로2길 37 1층,37.4841775919612,127.019376306751
671,팔당반점 서초직영점,중화요리,3.5,4건,7,서울 서초구 남부순환로 2457 1층,37.4827477317651,127.01912764981
672,만리향,중화요리,1.0,1건,14,서울 서초구 서초중앙로2길 37,37.4841775919612,127.019376306751
