name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS
초밥파는횟집,회,역삼동 832-31,1.8,11,20,37.4920283,127.03181629999999,1160.3931145729155,18.66
매화,중화요리,서초1동 1442-10,2.5,6,5,37.4853376,127.0214909,148.27353184432698,18.56
란꾸이팡,중화요리,역삼동 817-4,1.7,11,86,37.5003282,127.02779380000001,1661.5554854982295,18.55
빌리엔젤 강남358타워점,디저트카페,역삼동 826-14,3.0,4,46,37.4950229,127.02978390000001,1243.4373114928653,18.52
오타르,디저트카페,서초동 1306-8,1.6,13,67,37.4995213,127.02632609999999,1531.8942562708014,18.52
101커피컨테이너,카페,서초동 1720-7,3.3,4,2,37.4930409,127.00769479999998,1355.891643308537,18.52
이디야커피 예술의전당점,커피전문점,서초동 1451-1,3.3,4,2,37.483391600000004,127.0121078,830.1417640185064,18.52
이삭토스트 강남점,토스트,서초동 1327,2.1,8,10,37.4955719,127.02707520000001,1156.7542018361114,18.47
아티제 서초점,"제과,베이커리",서초1동 1645,2.0,9,8,37.4917813,127.02152109999999,592.3353714635127,18.46
빚은 교대점,"떡,한과",서초동 1696-15,2.7,5,11,37.4949652,127.0154,1049.7894743949196,18.44
맘스터치 강남대성학원점,패스트푸드,역삼동 827-69,2.3,7,4,37.495602399999996,127.0319918,1422.6408089526221,18.44
교대밀밭,국수,서초동 1570-3,3.0,4,38,37.49127960000001,127.01234540000002,906.228049257586,18.41
찌개마을,"찌개,전골",역삼동 826-37,2.5,6,3,37.495332299999994,127.03037250000001,1303.3870354971775,18.32
써니가든,분식,서초동 1342,3.3,4,1,37.4878195,127.02688059999998,567.9314177499732,18.28
꼬끼꼬끼치킨호프,"육류,고기",역삼동 827-1,2.0,8,26,37.496817799999995,127.03044150000001,1435.6454762389953,18.19
705사케집 교대점,일본식주점,서초동 1597-1,3.0,4,26,37.4876057,127.01294779999999,691.7831930284227,18.19
포메인 교대점,동남아음식,서초동 1685-8,2.6,5,21,37.4954141,127.0164028,1060.2843079264644,18.17
기세등등서병장 교대점,"찌개,전골",서초동 1660-27,1.9,9,22,37.492214600000004,127.0158703,763.4589502927696,18.16
미소야 양재점,"돈까스,우동",양재동 1-7,1.7,13,5,37.484274400000004,127.0379522,1545.407156542274,18.09
탐앤탐스 남부터미널역점,커피전문점,서초동 1457-2,1.9,10,4,37.4843464,127.01444140000001,598.8272852239754,18.04
버거킹 강남대로점,패스트푸드,역삼동 820-10,1.5,16,20,37.498857,127.02771680000001,1508.6020670535352,18.04
마약냉면 강남역점,냉면,역삼동 825-20,2.0,8,19,37.497717200000004,127.02914740000001,1454.8638585586655,18.01
돈스라,"돈까스,우동",서초동 1363-25,3.0,4,17,37.485600700000006,127.0316652,975.8762608640704,17.95
한스 서초점,"제과,베이커리",서초동 1635-6,2.1,8,3,37.4932295,127.0215519,752.6071326002333,17.88
선릉역매운떡볶이 양재점,떡볶이,양재동 11-87,2.6,5,12,37.48368370000001,127.0378908,1551.9654506873874,17.86
타코벨 아워홈빌딩점,"멕시칸,브라질",역삼동 830-24,2.6,5,11,37.4937915,127.03190890000002,1281.4852786835734,17.81
KFC 강남역점,패스트푸드,서초동 1317-6,2.3,6,17,37.4988873,127.0260392,1456.9970310837075,17.8
스시다미선,일식집,서초동 1327-8,2.2,6,53,37.4952476,127.02784720000001,1161.1715487955614,17.75
김가네 강남역점,분식,역삼동 635-13,2.6,5,8,37.49980770000001,127.02948,1671.9505450668603,17.64
소공동뚝배기집 남부터미널본점,"찌개,전골",서초동 1451-7,2.8,5,0,37.4835253,127.01236270000001,803.5143699515285,17.61
쥬씨 강남역세무서점,생과일전문점,역삼동 827-1,2.0,9,1,37.496817799999995,127.03044150000001,1435.6454762389953,17.58
구룡포막회,회,서초동 1570-13,2.8,4,50,37.4916306,127.01304750000001,881.5842203994562,17.48
파리크라상 서초래미안점,"제과,베이커리",서초동 1331-2,3.0,4,7,37.49294550000001,127.02720079999999,920.1714082036142,17.47
피자헛 서울고점,피자,서초동 1533,2.4,6,2,37.48414229999999,127.0099699,979.1849477074263,17.45
강남일미포차,"해물,생선",역삼동 822,2.8,4,45,37.4984765,127.0283403,1494.2811450343845,17.42
힘난다버거 강남역점,햄버거,역삼동 825-24,3.0,4,6,37.4968317,127.0298284,1405.0695310810845,17.4
월매네주막,술집,역삼동 817-12,1.8,9,24,37.4998711,127.0278755,1617.4499274552124,17.35
나주곰탕 강남직영점,곰탕,역삼동 823-11,2.3,6,7,37.49794929999999,127.0317354,1604.8833258087382,17.33
분틀 양재점,냉면,도곡동 959-27,2.4,5,43,37.48527410000001,127.037348,1478.4555565483179,17.32
미각한우전문점,"육류,고기",서초동 1543-1,3.0,4,5,37.490192,127.00911090000001,1098.9044449436599,17.31
만다린 서초점,중화요리,서초동 1338-10,3.0,4,5,37.4911148,127.0298594,960.1638138938928,17.31
