name,category,address,score,eval_cnt,review_cnt
코이라멘 서초점,일본식라면,서초동 1344-13,2.7,3,11
펀비어킹 양재역사거리점,"호프,요리주점",도곡동 953-3,0.0,0,17
그래도사랑해,"제과,베이커리",서초동 1363-1,3.7,3,4
커핀그루나루 서초구청점,커피전문점,서초동 1355-19,4.0,3,1
커피더호랑이,카페,서초동 1357-42,3.6,5,5
가마솥과청국장,"찌개,전골",서초동 1364-58,4.6,8,4
양재타워,한식,도곡동 949-3,0.0,0,0
옹아리벌교꼬막과찜마을 서초본사직영점,조개,서초동 1364-42,2.7,3,7
오복집 서초점,"족발,보쌈",서초동 1357-72,5.0,1,1
달링스테이크 양재점,"스테이크,립",서초동 1359-46,1.5,8,17
전주 콩나루콩나물국밥,국밥,서초동 1365-5,2.5,2,3
서가네의정부부대찌개,"찌개,전골",서초동 1359-28,3.0,2,11
BBQ 서초양재점,치킨,도곡동 950-6,0.0,0,1
프레세페,와인바,서초동 1361-8,4.5,8,12
하이면 양재역점,"돈까스,우동",서초동 1366-9,2.3,15,14
카페3,카페,서초동 1366-13,3.0,5,16
이삭토스트 서울서초구청점,토스트,서초동 1364-47,0.0,0,4
춘향골남원추어탕 서초점,추어,서초동 1342-7,4.3,6,3
종로김밥 양재점,분식,서초동 1360,2.3,8,7
데카치노,카페,서초동 1359-43,4.4,11,5
장수생고기숯불구이,"육류,고기",서초동 1366-3,5.0,1,6
더카페신방,커피전문점,서초동 1366-18,1.7,3,3
죽이야기 강남양재역점,죽,도곡동 957-11,4.0,2,4
던킨도너츠 양재역사2호점,도넛,도곡동 958-2,0.0,0,1
선릉역 영이네추억의떡볶이,떡볶이,도곡동 954,4.0,6,3
정성이가득찬집밥 강남직영점,도시락,도곡동 554-5,0.0,0,3
미스사이공양재점,동남아음식,서초동 1359-45,3.5,2,3
세이민 도곡본점,"돈까스,우동",도곡동 950-2,4.2,9,7
파리바게뜨 강남대로점,"제과,베이커리",서초동 1361-8,2.7,6,0
바다회포차,회,서초동 1356-9,4.0,2,2
늘봄,"족발,보쌈",서초동 1360-35,0.0,0,5
이디야커피 양재점,커피전문점,서초동 1365-22,5.0,1,1
아이리쉬펍뷰,"호프,요리주점",서초2동 1366,0.0,0,3
뱃길따라,회,서초동 1359-9,1.0,2,0
츠바키,일본식주점,서초동 1364-60,2.5,2,5
놀부옛날통닭 강남양재역점,치킨,도곡동 957-11,2.0,1,6
매머드커피 강남대로점,커피전문점,도곡동 949-2,2.5,4,0
